store_id,store_address,postcodes,warehouse_id,stock
947992,"234 Cedar Ln, Houston",12345,262645,"25,883"
435497,"567 Elm St, Seattle",23456,,"31,486"
444335,"890 Birch Ave, Los Angeles",34567,,"35,168"
589307,"123 Walnut Rd, Chicago",45678,,"38,442"
865952,"456 Pine Ave, New York",56789,,"47,731"
819569,"789 Oak St, San Francisco",67890,134191,"34,374"
907948,"012 Maple Ln, Miami",78901,,"27,016"
404428,"345 Spruce Rd, Dallas",89012,,"32,101"
656693,"678 Chestnut Ave, Atlanta",90123,,"20,485"
766118,"901 Olive St, Boston",1234,,"23,242"
502773,"234 Vine Rd, Denver",12345,865452,"32,831"
204552,"567 Palm Ave, Washington",23456,,"21,593"
371972,"890 Cedar St, Philadelphia",34567,,"31,946"
776698,"123 Elm Ln, Phoenix",45678,,"11,110"
741712,"456 Birch Ave, San Diego",56789,,"26,978"
780752,"789 Walnut Rd, Nashville",67890,365933,"17,541"
851563,"012 Pine Ave, Orlando",78901,,"13,990"
200100,"345 Oak St, Austin",89012,,"41,140"
386137,"678 Maple Rd, Minneapolis",90123,,"38,959"
124403,"901 Chestnut Ave, Houston",1234,,"38,919"
758148,"234 Olive Ln, Las Vegas",12345,539273,"46,660"
212698,"567 Vine Rd, San Antonio",23456,,"19,038"
471055,"890 Cedar Ave, Portland",34567,,"14,017"
146527,"123 Elm St, Detroit",45678,,"40,514"
137973,"456 Birch Rd, Charlotte",56789,,"28,249"
523666,"789 Walnut Ave, Raleigh",67890,135692,"21,000"
769967,"012 Pine St, Tampa",78901,,"31,560"
584868,"345 Oak Rd, Indianapolis",89012,,"13,439"
748941,"678 Maple Ave, Kansas City",90123,,"25,183"
731844,"901 Chestnut Ln, Pittsburgh",1234,,"35,620"
381762,"234 Olive Rd, Memphis",12345,270703,"38,955"
204188,"567 Vine Ave, Baltimore",23456,,"46,681"
631684,"890 Cedar St, Richmond",34567,,"23,122"
515688,"123 Elm Rd, Salt Lake City",45678,,"25,662"
477788,"456 Birch Ave, St. Louis",56789,,"18,072"
109293,"789 Walnut Ln, Charleston",67890,809453,"16,887"
138265,"012 Pine Rd, Providence",78901,,"45,461"
634328,"345 Oak Ave, Albuquerque",89012,,"30,209"
456288,"678 Maple St, Portland",90123,,"17,756"
345782,"901 Chestnut Rd, Cincinnati",1234,,"11,207"
267182,"234 Olive Ave, Oklahoma City",12345,845707,"39,612"
724117,"567 Vine Rd, Cleveland",23456,,"41,837"
424353,"890 Cedar Ln, San Jose",34567,,"21,262"
940630,"123 Elm St, Tampa",45678,,"42,956"
311283,"456 Birch Ave, Sacramento",56789,,"22,974"
273667,"789 Walnut Rd, Louisville",67890,847632,"39,994"
343507,"012 Pine St, Milwaukee",78901,,"19,627"
106933,"345 Oak Ave, Jacksonville",89012,,"19,298"
764824,"678 Maple Rd, Fort Worth",90123,,"18,010"
460962,"901 Chestnut Ave, San Antonio",1234,,"39,812"
476228,,,,
341829,,,,
470595,,,,
851775,,,,
431886,,,,
312465,,,,
214338,,,,
338498,,,,
689058,,,,
838361,,,,
248499,,,,
653102,,,,
740389,,,,
